"Freq [GHz]","cang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg]","cang_deg(S(FloquetPort1:1,FloquetPort1:1))_1 [deg]","cang_deg(S(FloquetPort1:1,FloquetPort1:1))_2 [deg]","cang_deg(S(FloquetPort1:1,FloquetPort1:1))_3 [deg]"
3,130.369201510132,112.583952099723,93.7445417156663,-112.070068712222
3.01,130.034702392714,111.762146824631,92.2122102683223,-114.721115178837
3.02,129.697369963167,110.921876212444,90.6296760459336,-117.239695728921
3.03,129.357165783624,110.062499805436,88.9947641521757,-119.634240877472
3.04,129.014050820176,109.183350651251,87.3052115539589,-121.912661738781
3.05,128.667985433471,108.283734160045,85.5586670629707,-124.082360654075
3.06,128.31892936922,107.362926923501,83.7526921794472,-126.150248853653
3.07,127.966841748599,106.420175496886,81.8847629893733,-128.122768615974
3.08,127.611681058562,105.454695145831,79.9522733382363,-130.005918065593
3.09,127.253405142061,104.465668560166,77.9525395405656,-131.805277267299
3.1,126.891971188178,103.452244537852,75.8828069250095,-133.526034661425
3.11,126.527335722179,102.413536642944,73.7402585596645,-135.173013174548
3.12,126.159454595485,101.348621842516,71.5220265515817,-136.750695554084
3.13,125.788282975578,100.256539128661,69.2252063672097,-138.263248632848
3.14,125.41377533583,99.1362881330274,66.8468746758041,-139.714546344586
3.15,125.03588544528,97.9868277429672,64.3841112735141,-141.108191394448
3.16,124.654566358353,96.8070747301692,61.834025698703,-142.447535547587
3.17,124.269770404533,95.5959024047779,59.1937891943174,-143.735698540536
3.18,123.881449177999,94.3521393104277,56.4606727038758,-144.975585648483
3.19,123.489553527225,93.0745679784154,53.6320915944365,-146.169903960391
3.2,123.094033544566,91.7619237624446,50.7056577700651,-147.321177425709
3.21,122.694838555828,90.4128937790556,47.6792397566592,-148.431760743177
3.22,122.291917109839,89.026115983063,44.5510311835745,-149.503852165257
3.23,121.885216968028,87.6001784121328,41.3196278362362,-150.539505292265
3.24,121.474685094036,86.1336186401183,37.9841130818284,-151.540639928944
3.25,121.06026764335,84.6249234850226,34.5441509532078,-152.509052073749
3.26,120.641909952998,83.0725290245513,31.0000854958188,-153.44642310784
3.27,120.219556531306,81.4748209802738,27.3530441322154,-154.354328247042
3.28,119.793151047737,79.8301355405161,23.6050417931903,-155.234244316081
3.29,119.362636322826,78.1367607023758,19.7590814485611,-156.08755690035
3.3,118.927954318241,76.3929382247848,15.8192455294783,-156.915566926491
3.31,118.489046126969,74.5968662974506,11.7907716986426,-157.719496719159
3.32,118.045851963674,72.7467030448464,7.6801056701298,-158.50049557766
3.33,117.598311155223,70.8405710002585,3.49492351230361,-159.259644912607
3.34,117.146362131424,68.8765627022163,-0.755883706606496,-159.997962979459
3.35,116.689942415993,66.8527475843287,-5.06226878338181,-160.716409242717
3.36,116.228988617771,64.7671803494317,-9.41313438586026,-161.415888401704
3.37,115.763436422235,62.6179110395981,-13.7964867418045,-162.097254106201
3.38,115.293220583318,60.4029970343555,-18.1996338372217,-162.761312387804
3.39,114.818274915578,58.120517229408,-22.6094210167862,-163.408824830612
3.4,114.338532286745,55.7685886658666,-27.01249324826,-164.040511502819
3.41,113.853924610693,53.3453858934811,-31.3955705298718,-164.657053668907
3.42,113.364382840854,50.8491633579552,-35.7457214373793,-165.259096300437
3.43,112.86983696414,48.2782810986205,-40.0506198823474,-165.847250401847
3.44,112.370215995397,45.6312340240463,-44.2987717822133,-166.422095166278
3.45,111.865447972435,42.9066849941011,-48.4797012633858,-166.984179975103
3.46,111.3554599517,40.1035018710077,-52.5840897710492,-167.534026253714
3.47,110.840178004616,37.2207986017243,-56.6038654910576,-168.072129194976
3.48,110.319527214662,34.2579802517661,-60.5322442707295,-168.598959360827
3.49,109.793431675237,31.2147917188865,-64.3637263438667,-169.114964171592
3.5,109.261814488368,28.0913696079003,-68.0940553778879,-169.620569291756
3.51,108.72459776433,24.8882964423781,-71.7201476008415,-170.11617992022
3.52,108.181702622227,21.6066560271554,-75.2399991126565,-170.60218199238
3.53,107.633049191627,18.2480883672041,-78.6525791138006,-171.078943300748
3.54,107.078556615288,14.8148421129481,-81.9577159134746,-171.54681454029
3.55,106.51814305309,11.3098220709444,-85.155981424519,-172.006130284133
3.56,105.951725687206,7.73662893609551,-88.2485785974122,-172.457209894835
3.57,105.379220728637,4.09958812282934,-91.237235029069,-172.900358375972
3.58,104.800543425166,0.403764461224599,-94.1241048933107,-173.335867168475
3.59,104.215608070832,-3.34504035616188,-96.9116804259348,-173.764014895645
3.6,103.624328017018,-7.14031028666404,-99.602713473255,-174.185068060659
3.61,103.026615685253,-10.9748593980586,-102.200147070341,-174.599281699909
3.62,102.422382581818,-14.8408992330699,-104.707056633525,-175.006899995333
3.63,101.811539314277,-18.7301287359185,-107.126600103671,-175.408156848643
3.64,101.193995610032,-22.6338449328398,-109.461976234214,-175.803276420096
3.65,100.569660337031,-26.5430710614167,-111.716390154979,-176.192473634292
3.66,99.9384415267222,-30.4486974788818,-113.893025336708,-176.575954655255
3.67,99.3002463994155,-34.341629612237,-115.995021113631,-176.953917332913
3.68,98.6549813921451,-38.2129365816895,-118.025454978021,-177.326551622898
3.69,98.0025521891894,-42.0539940201033,-119.987328930651,-177.694039981471
3.7,97.342863755375,-45.8566150427773,-121.883559246744,-178.056557737241
3.71,96.6758203723123,-49.6131642389987,-123.716969093045,-178.414273441192
3.72,96.0013256777072,-53.3166508426406,-125.490283504606,-178.767349196463
3.73,95.3192827079017,-56.9607987361726,-127.206126297696,-179.115940969194
3.74,94.6295939437991,-60.5400924810072,-128.867018556802,-179.460198881656
3.75,93.932161360335,-64.0497999916237,-130.475378388623,-179.800267488813
3.76,93.2268864796558,-67.4859736613801,-132.033521684284,-180.136286039355
3.77,92.5136704281773,-70.8454326309091,-133.543663673029,-180.468388722202
3.78,91.792413997691,-74.1257294403477,-135.007921086909,-180.796704899367
3.79,91.0630177106967,-77.3251045405569,-136.428314787019,-181.121359326047
3.8,90.3253818901365,-80.442432102173,-137.806772728218,-181.442472358713
3.81,89.5794067337232,-83.477160317662,-139.14513316157,-181.760160151941
3.82,88.8249923930157,-86.4292490082086,-140.445147992554,-182.074534844668
3.83,88.062039057474,-89.2991068874698,-141.708486228814,-182.385704736504
3.84,87.2904470436362,-92.0875303508602,-142.936737464384,-182.693774454704
3.85,86.5101168896289,-94.7956451921406,-144.131415358226,-182.998845112344
3.86,85.7209494551904,-97.4248522255829,-145.293961074011,-183.301014458223
3.87,84.9228460273933,-99.9767774272214,-146.425746655519,-183.600377018975
3.88,84.1157084322519,-102.453226908703,-147.52807831821,-183.897024233844
3.89,83.2994391523935,-104.856146801343,-148.602199642525,-184.191044582535
3.9,82.4739414509731,-107.187587951,-149.649294658624,-184.482523706547
3.91,81.6391195020032,-109.449675198788,-150.670490815549,-184.771544524352
3.92,80.7948785272649,-111.644580939788,-151.666861830523,-185.058187340765
3.93,79.9411249399597,-113.774502603395,-152.639430416247,-185.342529950831
3.94,79.0777664952507,-115.841643676696,-153.589170885734,-185.624647738532
3.95,78.204712447834,-117.848197889657,-154.517011635607,-185.904613770599
3.96,77.3218737166641,-119.796336192023,-155.423837509796,-186.182498885693
3.97,76.4291630569485,-121.688196172168,-156.310492046393,-186.458371779209
3.98,75.5264952395069,-123.525873594088,-157.177779610996,-186.732299083942
3.99,74.613787237571,-125.311415757574,-158.026467420327,-187.004345446822
4,73.6909584210871,-127.046816416414,-158.857287460194,-187.27457360194
